,Name,Type,City,Cluster,Address,CAP,Lat,Long,Source,URL,Notes,URL 2
0,3D Incubator,Incubator-Accelerator,Barcelona,BCN,"Polígono Industrial de la, Avinguda Parc Logístic, 2, 10",8040.0,41.340035586268726,2.1230359460327093,Manually added,https://www.incubator3d.org/,,
1,AKASHA Hub Barcelona,Hackerspace,Barcelona,BCN,"carrer de la verneda, 17 loc1",8018.0,41.41105433376162,2.1911459401482185,Hackerspaces.org,https://wiki.hackerspaces.org/AKASHA_Hub_Barcelona,,
2,Ateneu de Fabricació Ca L'Alier,Ateneu de Fabricació,Barcelona,BCN,"Carrer de Pere IV, 362",8019.0,41.41078570052905,2.203873110704254,Ajuntament.barcelona.cat,,,
3,Ateneu de Fabricació Ciutat Meridiana,Ateneu de Fabricació,Barcelona,BCN,"Av. de Rasos de Peguera, 232",8033.0,41.460459824619406,2.1698723266571536,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,
4,Ateneu de Fabricació Gràcia,Ateneu de Fabricació,Barcelona,BCN,Carrer Perill 8,8012.0,41.39936443324356,2.1611670113120494,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,
5,Ateneu de Fabricació La Fàbrica del Sol / Espai d'Intercanvi Barceloneta,Ateneu de Fabricació / Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Passeig de Salvat Papasseit, 1",8003.0,41.382352379582926,2.191718180625283,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,https://bcnsostenible.cat/web/punt/espai-dintercanvi-barceloneta
6,Ateneu de Fabricació Les Corts,Ateneu de Fabricació,Barcelona,BCN,c/ Evarist Arnús 59 i c/ Comtes de Bell-Lloc 192,8014.0,41.38366087714364,2.135464167132671,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,
7,Ateneu de Fabricació Parc Tecnológic,Ateneu de Fabricació,Barcelona,BCN,"Carrer de Marie Curie, 8-14",8042.0,41.436964660556576,2.1689552843279274,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,
8,ATTA33,Service,Barcelona,BCN,"Carrer de Tànger, 33",8018.0,41.40031808724662,2.189540141998292,Manually added,https://atta33.com/,,
9,Barcelona Mobility LAB,Fab Lab,Barcelona,BCN,Passatge del Torrent de l'Estadella 56,8030.0,41.43215238774583,2.199793097820458,Fablabs.io,,,
10,BDN Lab,Fab Lab,Badalona,BCN,"Carrer del General Weyler, 128",8912.0,41.44280114524807,2.238114638501468,Manually added,https://bdnlab.org/,,
11,Camins Makers,University Lab,Barcelona,BCN,C/ Jordi Girona 1-3,8034.0,41.38878736307806,2.1113697963011724,Manually added,https://caminsmakers.upc.edu/,,
12,Cibernarium Poble Nou (Barcelona Activa),Incubator-Accelerator,Barcelona,BCN,"Roc Boronat, 117",8018.0,41.40316365746117,2.194483373013783,Ajuntament.barcelona.cat,https://cibernarium.barcelonactiva.cat/en/edifici-mediatic,,
13,Cibernarium Parc Tecnologic (Barcelona Activa),Incubator-Accelerator,Barcelona,BCN,"Carrer Marie Curie, 8-14",8042.0,41.43746855841409,2.169056075636853,Ajuntament.barcelona.cat,https://cibernarium.barcelonactiva.cat/cibernarium-noubarris,,
